abbr,2000,2002,2004,2006,2008,2010,2012,2014
AL,,3.2,4.55,6,4.6,5.6,,
AR,,6.8,,,10.55,15.35,8.75,12.95
AZ,6.45,6.15,9.7,11.9,15.25,15.55,14.95,13.85
CO,,5.8,,7.45,11.5,9.75,10.65,13.65
FL,,,,4.15,7.1,,,
GA,6.5,7.5,8.85,10,11.7,15.45,15.4,16.8
MD,5.4,6.6,8.65,9,12.2,16.3,17.8,19.95
MN,,,,,,,,23.75
MO,,7.2,8.15,12,13.75,14.05,11.35,13.9
NC,,6.35,8.6,10.2,14.1,17.15,16.75,17.25
NJ,9.55,10.4,,,20,21.75,24.2,28.9
PA,,5.25,,8.3,13.25,,,
SC,6.3,5.95,5.2,8.45,10.9,,12.25,
TN,,,,,,,,15.35
UT,,7.35,,,21.7,18.3,17.05,
WI,,5.1,7.85,7.5,7.7,9.2,10.65,13.9
WV,4.5,7,,,,,,
